Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_ID,ADMIN1_NAME_ENG,ADMIN2_ID,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED,COMMENTS
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1425500000,Yasynuvatskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,82,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422400000,Kostiantynivskyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,81,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,81,
01-Aug-16,Education,«All-Ukrainian student fraternity «The elite of the nation»,,,6300000000,Kharkivska,6310100000,Kharkiv,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1423900000,Pershotravnevyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1414100000,Sloviansk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,80,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,79,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,78,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1411200000,Dzerzhynsk,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,78,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,77,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,,,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,77,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,77,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1423900000,Pershotravnevyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,76,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1411200000,Dzerzhynsk,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,76,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,Emergency Repairs,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,3vAgd,#N/A,,4400000000,Luhanska,4412100000,Pervomaisk,NGCA,Completed,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1411200000,Dzerzhynsk,GCA,Ongoing,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1423300000,Marinskyi,GCA,Ongoing,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,75,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,74,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421700000,Volodarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,74,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,74,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4420600000,Bilovodskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,73,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,,,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,73,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,,,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,72,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,,,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,72,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,72,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1410300000,Artemivsk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,72,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1423900000,Pershotravnevyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,71,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,71,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421700000,Volodarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,71,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,71,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,71,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4420600000,Bilovodskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,69,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4422500000,Markivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,69,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,69,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1423900000,Pershotravnevyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,69,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,Emergency Repairs,30-Dec-99,30-Dec-99,68,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1410300000,Artemivsk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,68,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,,,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,68,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,,,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,67,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,66,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1423900000,Pershotravnevyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,66,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4422500000,Markivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,63,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,63,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,62,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1412900000,Kramatorsk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,62,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,62,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,,,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,62,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,,,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,61,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1410200000,Avdiivka,GCA,Ongoing,School Kits,30-Dec-99,30-Dec-99,61,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1425500000,Yasynuvatskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,61,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1424200000,Slovianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1413300000,Krasnyi Lyman,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1424200000,Slovianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,3vAgd,#N/A,,4400000000,Luhanska,4412100000,Pervomaisk,NGCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,3vAgd,#N/A,,4400000000,Luhanska,4412100000,Pervomaisk,NGCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4424800000,Stanychno-Luhanskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Equipment,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1412900000,Kramatorsk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1425500000,Yasynuvatskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,60,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,59,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1412900000,Kramatorsk,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,55,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,55,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,55,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,54,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1423000000,Krasnolymanskyi,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,54,
01-Aug-16,Education,3vAgd,#N/A,,4400000000,Luhanska,4412100000,Pervomaisk,NGCA,Completed,School Kits,30-Dec-99,30-Dec-99,53,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1420900000,Artemivskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,53,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423100000,Novoaidarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,52,
01-Aug-16,Education,United Nations Children's Fund,,,4400000000,Luhanska,4423800000,Popasnianskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,52,
01-Aug-16,Education,Save the Children International,,,1400000000,Donetska,1412600000,Kostiantynivka,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,52,
