Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_NAME_ENG,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED
01-Feb-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
01-Feb-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Feb-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Feb-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Feb-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Feb-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Feb-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Feb-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Feb-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Feb-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
