"Day, Month, Year", Oblast,PCODE1,Raion,PCODE2,Urban-type settlement,PCODE3,[Admin4],PCODE4,Latitude,Longitude,Name of school / learning center,Type of school/ learning center,Type of education,Control area,Activity,Status,Activity start date,Activity completion date,Total Beneficiaries,Total ADULT Beneficiaries,Female,Male,Total CHILDREN Beneficiaries,Girls,Boys,Number of ECCD Units,Number of Schools/Kindergartens,Comments
2016-02-10,Luhansk,4400000000,Popаsnianskyi,4423800000,Popasnianska,4423810100,,,48.6299091758,38.3652518748,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2016-01-24,2016-01-24,194,46,36,10,148,71,77,,,Popasnaya kindergarten №1
2016-01-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,15,15,,,0,,,,,
2016-01-01,Lviv,4600000000,Lviv,4610100000,Lvivska,4610100000,,,49.8301856694,24.0217806648,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,15,15,,,0,,,,,
2016-01-01,Kherson,6500000000,Kherson,6510100000,Khersonska,6510100000,,,46.657288344,32.6085660454,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,15,15,,,0,,,,,
2016-01-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,55,55,,,0,,,,,"Every week - Professional Course (till March - Java-programming for Beginners & Twice a month - Lectures and Seminars on SMM, Business Development"
2016-01-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2016-01-01,2016-01-31,10,10,,,0,,,,,Every month - search for the possibilities of free professional courses for IDPs 
2016-01-01,Lviv,4600000000,Lviv,4610100000,Lvivska,4610100000,,,49.8301856694,24.0217806648,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2016-01-01,2016-01-31,10,10,,,0,,,,,Every month - search for the possibilities of free professional courses for IDPs 
2016-01-01,Kherson,6500000000,Kherson,6510100000,Khersonska,6510100000,,,46.657288344,32.6085660454,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2016-01-01,2016-01-31,10,10,,,0,,,,,Every month - search for the possibilities of free professional courses for IDPs 
2016-03-02,Luhansk,4400000000,Sievierodonetsk,4412900000,Sievierodonetska,4412900000,,,48.9464763769,38.4819603866,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-04-01,2016-12-31,2160,1080,540,540,1080,540,540,,,
2016-03-01,Luhansk,4400000000,Luhаnsk,4410100000,Luhanska,4410100000,,,48.5632021816,39.3222535962,,,,NGCA,Capacity building of parents/caregivers,Ongoing,2016-01-01,,12,12,,,0,,,,,
